building_id,meter,timestamp,meter_reading
275,0,2016-01-01 00:00:00,88.1
275,0,2016-01-01 01:00:00,91.88
275,0,2016-01-01 02:00:00,92.6
275,0,2016-01-01 03:00:00,95.39
275,0,2016-01-01 04:00:00,95.51
275,0,2016-01-01 05:00:00,97.72
275,0,2016-01-01 06:00:00,98.36
275,0,2016-01-01 07:00:00,99.49
275,0,2016-01-01 08:00:00,99.26
275,0,2016-01-01 09:00:00,96.48
275,0,2016-01-01 10:00:00,94.74
275,0,2016-01-01 11:00:00,92.91
275,0,2016-01-01 12:00:00,85.57
275,0,2016-01-01 13:00:00,83.7
275,0,2016-01-01 14:00:00,81.53
275,0,2016-01-01 15:00:00,86.64
275,0,2016-01-01 16:00:00,92.15
275,0,2016-01-01 17:00:00,89.65
275,0,2016-01-01 18:00:00,86.69
275,0,2016-01-01 19:00:00,81.75
275,0,2016-01-01 20:00:00,79.62
275,0,2016-01-01 21:00:00,82.96
275,0,2016-01-01 22:00:00,83.28
275,0,2016-01-01 23:00:00,82.97
275,0,2016-01-02 00:00:00,84.32
275,0,2016-01-02 01:00:00,88.76
275,0,2016-01-02 02:00:00,96.48
275,0,2016-01-02 03:00:00,94.94
275,0,2016-01-02 04:00:00,95.15
275,0,2016-01-02 05:00:00,95.99
275,0,2016-01-02 06:00:00,99.39
275,0,2016-01-02 07:00:00,96.15
275,0,2016-01-02 08:00:00,98.81
275,0,2016-01-02 09:00:00,98.36
275,0,2016-01-02 10:00:00,96.95
275,0,2016-01-02 11:00:00,94.71
275,0,2016-01-02 12:00:00,97.11
275,0,2016-01-02 13:00:00,98.54
275,0,2016-01-02 14:00:00,108.98
275,0,2016-01-02 15:00:00,112.26
275,0,2016-01-02 16:00:00,113.68
275,0,2016-01-02 17:00:00,107.11
275,0,2016-01-02 18:00:00,100.9
275,0,2016-01-02 19:00:00,97.76
275,0,2016-01-02 20:00:00,96.4
275,0,2016-01-02 21:00:00,92.25
275,0,2016-01-02 22:00:00,91.75
275,0,2016-01-02 23:00:00,91.36
